Snapshot,N_Nodes,N_Edges,Density,Avg_Degree,N_Conec_Comp,Avg_clustering,N_Comm,Modularity
1,81,286,0.0883,7.0617,3,0.7237,9,0.5038
2,68,153,0.0672,4.5,1,0.6565,6,0.6835
3,82,256,0.0771,6.2439,2,0.5921,9,0.5404
4,95,479,0.1073,10.0842,1,0.595,6,0.4417
5,89,274,0.07,6.1573,2,0.482,7,0.5054
6,86,330,0.0903,7.6744,1,0.5464,6,0.4803
7,93,437,0.1022,9.3978,1,0.5719,7,0.415
8,95,328,0.0735,6.9053,2,0.4877,7,0.4354
9,93,380,0.0888,8.172,1,0.4867,7,0.4523
10,98,516,0.1086,10.5306,1,0.5019,7,0.3882
11,95,304,0.0681,6.4,1,0.4591,9,0.4505
12,96,384,0.0842,8.0,1,0.4286,7,0.4234
13,98,510,0.1073,10.4082,1,0.421,6,0.3637
14,97,403,0.0866,8.3093,1,0.373,7,0.3897
15,99,402,0.0829,8.1212,1,0.3989,7,0.4448
16,99,510,0.1051,10.303,1,0.4095,5,0.3668
17,98,485,0.102,9.898,1,0.3638,7,0.3675
18,98,539,0.1134,11.0,1,0.3828,5,0.3364
19,100,818,0.1653,16.36,1,0.4493,5,0.3049
20,100,584,0.118,11.68,1,0.3743,7,0.3443
21,100,539,0.1089,10.78,1,0.3347,6,0.3291
22,100,653,0.1319,13.06,1,0.3537,5,0.2765
23,99,537,0.1107,10.8485,1,0.3408,7,0.3428
24,97,604,0.1297,12.4536,1,0.3744,6,0.3167
25,100,606,0.1224,12.12,1,0.3502,5,0.2942
26,98,707,0.1487,14.4286,1,0.3502,7,0.2624
27,100,747,0.1509,14.94,1,0.348,5,0.2841
28,100,839,0.1695,16.78,1,0.3715,6,0.2417
29,100,707,0.1428,14.14,1,0.3675,7,0.2603
30,99,692,0.1427,13.9798,1,0.3361,7,0.271
31,100,779,0.1574,15.58,1,0.3465,5,0.2584
32,100,599,0.121,11.98,2,0.3462,7,0.3031
33,99,711,0.1466,14.3636,1,0.375,7,0.2917
34,100,756,0.1527,15.12,1,0.4022,6,0.3117
35,99,662,0.1365,13.3737,1,0.3524,7,0.2965
36,99,750,0.1546,15.1515,1,0.378,5,0.271
37,99,696,0.1435,14.0606,1,0.3791,6,0.2836
38,100,741,0.1497,14.82,1,0.3928,7,0.2819
39,100,678,0.137,13.56,1,0.3806,7,0.2873
40,99,688,0.1418,13.899,1,0.3655,6,0.2887
41,100,671,0.1356,13.42,1,0.3914,6,0.3003
42,100,761,0.1537,15.22,1,0.3659,5,0.272
43,99,830,0.1711,16.7677,1,0.3879,5,0.2836
44,99,803,0.1655,16.2222,1,0.4119,6,0.2583
45,100,808,0.1632,16.16,1,0.3624,7,0.2595
46,99,951,0.196,19.2121,1,0.4217,5,0.2453
47,100,859,0.1735,17.18,1,0.4126,6,0.2891
48,99,790,0.1629,15.9596,1,0.4235,5,0.2596
49,100,748,0.1511,14.96,1,0.3699,5,0.2498
50,99,738,0.1521,14.9091,1,0.3983,6,0.2723
51,100,724,0.1463,14.48,1,0.3991,5,0.2763
52,99,728,0.1501,14.7071,1,0.3808,6,0.2633
53,98,726,0.1527,14.8163,1,0.3915,6,0.2919
54,99,779,0.1606,15.7374,1,0.3981,6,0.2935
55,99,770,0.1587,15.5556,1,0.4184,6,0.2895
56,98,772,0.1624,15.7551,1,0.4071,6,0.2495
57,100,736,0.1487,14.72,1,0.3804,7,0.2798
58,96,611,0.134,12.7292,1,0.3745,7,0.3002
59,99,723,0.149,14.6061,1,0.4199,6,0.2838
60,99,782,0.1612,15.798,1,0.4145,6,0.2695
61,97,686,0.1473,14.1443,1,0.4123,6,0.2942
62,99,695,0.1433,14.0404,1,0.4234,7,0.2721
63,98,575,0.121,11.7347,1,0.3977,7,0.3018
64,98,649,0.1365,13.2449,1,0.3873,6,0.3042
65,99,556,0.1146,11.2323,1,0.3786,6,0.3299
66,95,577,0.1292,12.1474,1,0.4575,5,0.332
67,98,511,0.1075,10.4286,1,0.4041,7,0.3719
68,98,551,0.1159,11.2449,1,0.4341,7,0.3664
69,97,510,0.1095,10.5155,1,0.4533,5,0.3621
70,95,466,0.1044,9.8105,2,0.4538,8,0.37
71,97,541,0.1162,11.1546,1,0.4648,7,0.3244
72,94,463,0.1059,9.8511,1,0.4668,8,0.3774
73,90,432,0.1079,9.6,1,0.4387,5,0.3645
74,93,355,0.083,7.6344,2,0.5342,8,0.4436
75,92,375,0.0896,8.1522,1,0.5411,7,0.4476
76,88,271,0.0708,6.1591,1,0.5175,8,0.4801
77,87,315,0.0842,7.2414,1,0.4969,5,0.492
78,81,251,0.0775,6.1975,2,0.5198,7,0.4948
79,85,288,0.0807,6.7765,1,0.5142,8,0.4467
80,83,272,0.0799,6.5542,1,0.5689,8,0.4913
81,77,215,0.0735,5.5844,2,0.4809,7,0.4905
82,80,261,0.0826,6.525,2,0.6394,8,0.5201
83,77,257,0.0878,6.6753,4,0.5998,9,0.4716
84,63,163,0.0835,5.1746,2,0.5831,6,0.5568
85,64,193,0.0957,6.0312,3,0.6912,7,0.5331
86,62,165,0.0873,5.3226,8,0.8069,11,0.6174
87,46,124,0.1198,5.3913,4,0.8027,8,0.5311
88,34,50,0.0891,2.9412,6,0.8147,7,0.7674
89,13,15,0.1923,2.3077,4,1.0,4,0.72
90,3,3,1.0,2.0,1,1.0,1,0.0
